category,company_count,with_label_count,coverage_percentage,avg_labels
Zoo,8,8,100.0,2.5
Accounting & Bookkeeping Services,30,30,100.0,2.8
Tech Companies,28,28,100.0,2.86
Telecommunications,22,22,100.0,2.68
Telemarketing,1,1,100.0,3.0
Television Broadcasting,8,8,100.0,2.12
Tennis Club,1,1,100.0,1.0
Theatres & Theatrical Services,10,10,100.0,2.3
Tile Store,7,7,100.0,2.43
Timber & Wood Products,47,47,100.0,2.57
Stainless Steel Products,32,32,100.0,2.84
Stenographers & Transcription Services,17,17,100.0,2.94
Subscription Box Service,1,1,100.0,2.0
Surveying Services,20,20,100.0,2.95
Swimming school,6,6,100.0,1.67
Tattoo & Piercing Parlors,10,10,100.0,2.9
Tax Preparation,10,10,100.0,2.6
Taxicabs,14,14,100.0,2.21
Software Development Services,10,10,100.0,3.0
Solar Energy Company,8,8,100.0,2.62
"Spices, Condiments & Sauces",35,35,100.0,2.8
Sporting & Recreational Camps,10,10,100.0,2.2
Sporting Goods Store,26,26,100.0,1.81
"Sports & Leisure - Clubs, Fields & Pitches",7,7,100.0,1.43
Sports Associations,1,1,100.0,3.0
Sports Medicine & Physical Therapy,7,7,100.0,2.43
Shipping Couriers,29,29,100.0,2.86
Shoe Shining & Repair,11,11,100.0,2.64
Shoes & Other Footwear Stores,30,30,100.0,2.33
Signs & Commercial Screens,10,10,100.0,2.6
Sleep Clinics,9,9,100.0,2.44
Snack Foods,15,15,100.0,2.33
Social Media Agencies,2,2,100.0,3.0
Social Services & NGOs,63,63,100.0,2.51
"Breaks, Wheels & Tire Dealers",48,48,100.0,2.69
Breweries,13,13,100.0,2.15
Building Material Manufacturers,66,66,100.0,2.94
"Buses, Shuttles & Local Transit",62,62,100.0,2.48
Business Associations,1,1,100.0,3.0
Business Consulting,50,50,100.0,2.98
Butcher shop,13,13,100.0,1.92
Buyback Shops,33,33,100.0,2.36
Boat Tours & Cruises,50,50,100.0,2.06
Boats services & dealers,31,31,100.0,2.26
Book Publisher,10,10,100.0,1.8
Book Stores,17,17,100.0,2.53
Botanical Garden,1,1,100.0,3.0
Bowling Alley,10,10,100.0,2.8
Boxing Gym,1,1,100.0,3.0
Boys & Girls Clubs,2,2,100.0,3.0
Bed and Breakfast,24,24,100.0,2.92
Beer & Liquor Stores,17,17,100.0,2.35
Beverages & Refreshments,38,38,100.0,2.34
"Bicycle Shops, Parts & Accessories",19,19,100.0,2.63
Biotechnology,10,10,100.0,2.4
"Blinds, Curtains & Draperies",38,38,100.0,2.79
Blood Banks & Donation Centers,10,10,100.0,2.8
Boat Rental & Chartering Services,4,4,100.0,2.5
Bartending Schools,5,5,100.0,2.2
Basketball Club,1,1,100.0,3.0
Bathroom Furniture & Equipment,7,7,100.0,2.71
Batteries,10,10,100.0,2.1
Bearings Manufacturing,2,2,100.0,3.0
Beauty Salons,18,18,100.0,2.94
Beauty Salons - Equipment & Supplies,1,1,100.0,3.0
Beauty Schools,10,10,100.0,2.2
Cleaning Equipment & Supplies,31,31,100.0,2.77
Clinics - Surgeons & Physicians,29,29,100.0,2.79
Clothing Stores,55,55,100.0,2.69
Coffee & Tea Shops,13,13,100.0,1.69
Colleges & Universities,20,20,100.0,2.9
Comic Book Store,3,3,100.0,3.0
Commercial Printing,42,42,100.0,2.83
Community Foundations,13,13,100.0,2.54
Chinese Restaurants,2,2,100.0,1.5
Chiropractors,10,10,100.0,2.3
Churches & Religious Organizations,10,10,100.0,2.8
Cigar & Tobacco Stores,4,4,100.0,3.0
Cinemas & Video Theaters,20,20,100.0,1.7
Civil Engineering Services,15,15,100.0,2.87
Civil Law Attorney,1,1,100.0,3.0
Clay & Pottery Products,10,10,100.0,3.0
Car Washes,10,10,100.0,2.5
Cardiology Clinics,3,3,100.0,2.0
Carpet Cleaning,10,10,100.0,3.0
"Carpets, Rugs & Other Floor Covers",30,30,100.0,1.93
Casino & Betting,20,20,100.0,2.45
Catering & Delivery,22,22,100.0,2.77
Chemicals,150,150,100.0,2.51
Children Clothing,2,2,100.0,3.0
CBD and Medical Marijuana,7,7,100.0,2.71
Cabinet Makers,8,8,100.0,2.5
Cable & Internet Providers,39,39,100.0,2.59
Cables & Wires,46,46,100.0,2.37
Call Centers,20,20,100.0,2.9
Cameras & Photographic Equipment Stores,9,9,100.0,2.56
Campus Rentals,4,4,100.0,3.0
Car Rental,55,55,100.0,2.53
Detectives & Investigation Services,10,10,100.0,2.7
Device Manufacturing,3,3,100.0,2.67
Die Casting & Tool Manufacturing,4,4,100.0,3.0
Digital & Marketing Agencies,39,39,100.0,3.0
Distilleries & Malt Processing,10,10,100.0,2.6
Divorce & Family Law Attorneys,1,1,100.0,2.0
Domestic Violence NGOs,2,2,100.0,3.0
Driving Schools,12,12,100.0,2.75
Damage Restoration & Mold Remediation,15,15,100.0,3.0
Dance Schools,5,5,100.0,3.0
Daycare Centers,11,11,100.0,2.09
Debt Collection Agencies,23,23,100.0,2.35
Decorators & Interior Designers,19,19,100.0,2.89
Dental Laboratory,20,20,100.0,2.4
Dentists & Dental Clinics,10,10,100.0,3.0
Dermatology Clinics,5,5,100.0,2.2
Credit Reporting Services,10,10,100.0,2.9
Credit Unions & Savings Institutions,19,19,100.0,1.84
Crossfit Centers,1,1,100.0,3.0
Cryptocurrency,24,24,100.0,2.54
Custom Furniture,1,1,100.0,3.0
Cybersecurity,1,1,100.0,3.0
DJs & Event Entertainers,2,2,100.0,2.5
Dairy Products - Farms & Stores,51,51,100.0,2.75
Computer Repair & Service,29,29,100.0,2.83
Computer Stores,4,4,100.0,2.25
Computer Training Schools,9,9,100.0,2.0
Concrete Work,27,27,100.0,2.89
Construction Services,40,40,100.0,2.92
Cosmetic Manufacturing,1,1,100.0,3.0
Cosmetics Stores,18,18,100.0,2.28
Courthouses,59,59,100.0,2.56
"Executive, Legislative & Government Institutions",172,172,100.0,2.72
Fabric-Based Home Goods,110,110,100.0,2.96
Fabricated Rubber Products,28,28,100.0,2.68
Farm Equipment,20,20,100.0,2.9
Farms & Agriculture Production,237,237,100.0,2.59
Fashion Accessories,4,4,100.0,2.5
Fashion Designers,1,1,100.0,3.0
Fast food Restaurants,18,18,100.0,2.28
Employment Attorneys,1,1,100.0,1.0
Engines,38,38,100.0,2.26
Entertainers,17,17,100.0,2.53
Environmental Engineering Services,16,16,100.0,3.0
Equine Services,5,5,100.0,2.8
Escrow Companies,10,10,100.0,2.8
Event Planner Services,30,30,100.0,2.8
"Excavation, Bulldozing & Demolition",20,20,100.0,2.7
Electric Vehicle Charging Station,3,3,100.0,2.33
Electrical & Wiring Contractors,10,10,100.0,3.0
Electronical Components Manufacturing,117,117,100.0,2.66
Electronical Components Retailer,23,23,100.0,2.7
Electronics Repair & Maintenance,1,1,100.0,3.0
Electronics Stores,58,58,100.0,2.36
Elevators & Ramps - Installation & Service,10,10,100.0,3.0
Employment Agencies & HR Consulting,39,39,100.0,2.87
Drug Stores & Pharmacies,29,29,100.0,2.14
Dry Cleaners,40,40,100.0,2.28
Drywall & Insulation Contractors,11,11,100.0,2.91
ENT Specialists,1,1,100.0,3.0
Edible oils manufacturing & distribution,17,17,100.0,1.65
Educational Associations,4,4,100.0,2.0
Educational Consultants,8,8,100.0,2.62
Electric Supplies & Power Generation,66,66,100.0,2.35
General Contractors,1,1,100.0,3.0
General Practice Attorneys,4,4,100.0,2.25
Gift Shops,24,24,100.0,2.54
Glass & Mirror Stores,40,40,100.0,2.95
Glaziers & Glass Products,10,10,100.0,2.5
Golf Courses & Country Clubs,10,10,100.0,2.4
Graphic Design,10,10,100.0,2.8
Groceries,59,59,100.0,2.53
Fruit & Vegetable - Markets & Stores,93,93,100.0,2.68
Funeral Services & Cemeteries,19,19,100.0,2.74
Furniture Repair & Reconditioning,10,10,100.0,2.5
Furniture Stores,90,90,100.0,2.71
Garbage Collection & Waste Disposal,85,85,100.0,2.71
Garden Equipment & Supplies,37,37,100.0,2.76
Gas Stations,39,39,100.0,2.33
Gastroenterology Clinics,1,1,100.0,3.0
Fitness Equipment,3,3,100.0,2.67
Flight Training,11,11,100.0,2.55
Flooring Contractors,29,29,100.0,2.97
Florists,20,20,100.0,2.4
Food & Beverage Associations,1,1,100.0,3.0
Food Banks,9,9,100.0,2.78
Food Production,67,67,100.0,2.64
Forging & Metal Stampings,66,66,100.0,2.58
Fastener Suppliers,20,20,100.0,2.35
Fences & Ornamental Metal Work,10,10,100.0,2.8
"Fertility, Birth & Maternity Services",12,12,100.0,2.83
Financial Services,7,7,100.0,2.14
Fine Arts Schools,1,1,100.0,1.0
Fire Departments & Fire Protection,13,13,100.0,2.23
Firewood Supplier,9,9,100.0,2.33
Fish Farms,39,39,100.0,1.92
Ice,10,10,100.0,1.8
Ice Cream,10,10,100.0,2.5
Immigration Attorneys,1,1,100.0,2.0
Independent Living Facilities,2,2,100.0,3.0
Industrial Air Solutions,87,87,100.0,2.59
Industrial Machinery & Supplies,126,126,100.0,2.87
Industry Associations,1,1,100.0,3.0
Injection Molding Services,2,2,100.0,3.0
Homelessness Shelter,11,11,100.0,2.45
Honey Farms & Bee Keepers,10,10,100.0,2.4
Hose & Belts,9,9,100.0,2.0
Hosting & Cloud Infrastructure Providers,9,9,100.0,3.0
Hotels,15,15,100.0,3.0
Housing Programs,10,10,100.0,2.9
Hunting & Fishing - Services & Supplies,2,2,100.0,3.0
